"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1971",13994.68
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1972",14671.79
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1973",15514.55
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1974",15481.08
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1975",15543.88
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1976",16368.03
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1977",16925.88
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1978",17439.05
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1979",17960.39
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1980",17779.55
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1981",17540.93
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1982",17356.48
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1983",17468.63
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1984",18050.8
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1985",18319.24
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1986",18649.02
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1987",19284.45
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1988",19944.98
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1989",20327.21
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1990",20623.02
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1991",20751.12
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1992",20701.3
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1993",20808.31
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1994",20927.73
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1995",21478
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1996",21986.95
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1997",22230.55
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1998",22376
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-1999",22519.25
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2000",23321.56
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2001",23579.51
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2002",23937.86
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2003",24992.01
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2004",26176.95
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2005",27047.57
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2006",27855.56
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2007",28783.17
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2008",28871.12
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2009",28321.5
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2010",29838.21
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2011",31292.84
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2012",31490.53
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2013",31491
"WLD","AIREMISSION","CO2","MLN_TONNE","A","Jan-2014",32190
