"rowNumber","Year","variable","value","date"
"1",2016,"Feb","1.34","Feb-2016"
"2",2016,"Mar","1.31","Mar-2016"
"3",2016,"Jan","1.16","Jan-2016"
"4",2017,"Mar","1.13","Mar-2017"
"5",2017,"Feb","1.12","Feb-2017"
"6",2015,"Dec","1.11","Dec-2015"
"7",2016,"Apr","1.08","Apr-2016"
"8",2015,"Oct","1.08","Oct-2015"
"9",2015,"Nov","1.03","Nov-2015"
"10",2016,"Aug","1","Aug-2016"
"11",2017,"Jan","0.97","Jan-2017"
"12",2007,"Jan","0.95","Jan-2007"
"13",2017,"Apr","0.93","Apr-2017"
"14",2010,"Mar","0.92","Mar-2010"
"15",2015,"Mar","0.91","Mar-2015"
"16",2016,"May","0.91","May-2016"
"17",1998,"Feb","0.9","Feb-1998"
"18",2002,"Mar","0.9","Mar-2002"
"19",2017,"Oct","0.9","Oct-2017"
"20",2016,"Nov",".90","Nov-2016"
"21",2016,"Oct","0.89","Oct-2016"
"22",2017,"May","0.88","May-2017"
"23",2016,"Sep","0.88","Sep-2016"
"24",2015,"Feb","0.87","Feb-2015"
"25",2017,"Aug","0.87","Aug-2017"
"26",2014,"Sep","0.87","Sep-2014"
"27",2010,"Apr","0.85","Apr-2010"
"28",2014,"May","0.85","May-2014"
"29",2016,"Jul","0.83","Jul-2016"
"30",2015,"Sep","0.82","Sep-2015"
"31",2016,"Dec",".82","Dec-2016"
"32",2015,"Jan","0.81","Jan-2015"
"33",2017,"Jul","0.81","Jul-2017"
"34",2014,"Oct","0.81","Oct-2014"
"35",2010,"Feb","0.8","Feb-2010"
"36",2014,"Aug","0.8","Aug-2014"
"37",2017,"Sep","0.8","Sep-2017"
"38",2015,"Jun","0.79","Jun-2015"
"39",2016,"Jun","0.79","Jun-2016"
"40",2015,"Aug","0.79","Aug-2015"
"41",2013,"Nov",".79","Nov-2013"
"42",2014,"Dec",".79","Dec-2014"
"43",1995,"Feb","0.78","Feb-1995"
"44",2010,"Nov",".78","Nov-2010"
"45",2014,"Apr","0.77","Apr-2014"
"46",1998,"Jun","0.77","Jun-1998"
"47",2013,"Sep","0.77","Sep-2013"
"48",2009,"Nov",".77","Nov-2009"
"49",1990,"Mar","0.76","Mar-1990"
"50",2014,"Mar","0.76","Mar-2014"
"51",2015,"May","0.76","May-2015"
"52",2005,"Sep","0.76","Sep-2005"
"53",2005,"Oct","0.76","Oct-2005"
"54",2002,"Jan","0.75","Jan-2002"
"55",2002,"Feb","0.75","Feb-2002"
"56",2015,"Apr","0.75","Apr-2015"
"57",2012,"Oct","0.75","Oct-2012"
"58",2010,"Jan","0.74","Jan-2010"
"59",2014,"Jan","0.74","Jan-2014"
"60",2007,"Apr","0.74","Apr-2007"
