Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1880;-30;-21;-19;-28;-15;-29;-24;-8;-17;-17;-20;-22
1881;-11;-15;0;-4;-5;-29;-7;-3;-10;-21;-27;-17
1882;8;7;1;-20;-18;-26;-11;3;-2;-23;-22;-26
1883;-34;-43;-18;-25;-26;-12;-9;-13;-19;-12;-21;-19
1884;-19;-12;-35;-37;-33;-38;-35;-26;-24;-23;-31;-30
1885;-66;-30;-24;-45;-42;-51;-29;-28;-20;-20;-23;-6
1886;-43;-46;-42;-30;-28;-40;-17;-32;-20;-26;-27;-26
1887;-67;-49;-32;-38;-34;-21;-20;-28;-20;-33;-27;-39
1888;-44;-43;-48;-29;-23;-21;-10;-12;-9;0;-2;-13
1889;-21;14;4;4;-3;-12;-6;-18;-19;-23;-31;-31
1890;-48;-49;-42;-38;-48;-28;-30;-37;-36;-23;-38;-31
1891;-47;-50;-15;-26;-18;-23;-23;-22;-14;-24;-38;-3
1892;-26;-16;-37;-36;-25;-20;-28;-20;-26;-17;-51;-30
1893;-69;-52;-25;-33;-35;-24;-14;-24;-19;-17;-18;-39
1894;-56;-33;-22;-42;-31;-44;-33;-29;-23;-18;-26;-23
1895;-45;-44;-30;-23;-24;-26;-18;-17;-3;-12;-17;-13
1896;-24;-16;-31;-33;-21;-15;-7;-10;-5;3;-17;-13
1897;-23;-20;-13;-2;-2;-14;-6;-4;-5;-10;-19;-27
1898;-7;-34;-56;-33;-36;-21;-23;-23;-20;-33;-36;-23
1899;-19;-41;-36;-22;-21;-27;-14;-4;-2;-1;11;-28
1900;-41;-8;1;-15;-7;-16;-9;-4;1;7;-14;-15
1901;-30;-6;4;-7;-19;-11;-10;-14;-17;-30;-18;-31
1902;-21;-5;-30;-29;-31;-35;-27;-28;-22;-28;-37;-47
1903;-29;-7;-24;-41;-43;-45;-31;-44;-43;-42;-40;-48
1904;-65;-55;-47;-51;-51;-50;-49;-44;-47;-36;-18;-30
1905;-39;-60;-26;-37;-34;-32;-25;-21;-15;-24;-9;-22
1906;-31;-35;-16;-3;-21;-22;-27;-20;-25;-21;-39;-19
1907;-45;-53;-25;-41;-47;-44;-36;-37;-32;-25;-52;-51
1908;-46;-37;-58;-46;-41;-39;-36;-46;-33;-44;-52;-50
1909;-71;-48;-53;-60;-55;-53;-44;-30;-38;-40;-32;-55
1910;-45;-44;-48;-40;-35;-37;-32;-34;-37;-39;-57;-70
1911;-64;-61;-63;-56;-52;-47;-41;-43;-38;-26;-21;-26
1912;-28;-14;-38;-20;-21;-27;-42;-52;-47;-56;-39;-43
1913;-42;-44;-44;-37;-46;-46;-35;-33;-33;-35;-20;-4
1914;1;-14;-24;-29;-20;-23;-25;-16;-14;-6;-21;-10
1915;-21;-2;-9;6;-2;-16;-4;-16;-13;-23;-13;-25
1916;-20;-23;-32;-26;-28;-44;-34;-27;-30;-29;-43;-78
1917;-47;-54;-48;-39;-49;-41;-24;-27;-19;-36;-29;-72
1918;-43;-33;-21;-40;-38;-29;-21;-27;-14;-4;-16;-31
